Scheduler,CachePol,RamPol,Process Count,Makespan
Round Robin,FIFO,FIFO,1,6434.0
Round Robin,FIFO,FIFO,2,6434.0
Round Robin,FIFO,FIFO,4,6434.0
Round Robin,FIFO,LRU,1,6434.0
Round Robin,FIFO,LRU,2,6434.0
Round Robin,FIFO,LRU,4,6434.0
Round Robin,LRU,FIFO,1,6434.0
Round Robin,LRU,FIFO,2,6434.0
Round Robin,LRU,FIFO,4,6434.0
Round Robin,LRU,LRU,1,6434.0
Round Robin,LRU,LRU,2,6434.0
Round Robin,LRU,LRU,4,6434.0
FCFS,FIFO,FIFO,1,6434.0
FCFS,FIFO,FIFO,2,6434.0
FCFS,FIFO,FIFO,4,6434.0
FCFS,FIFO,LRU,1,6434.0
FCFS,FIFO,LRU,2,6434.0
FCFS,FIFO,LRU,4,6434.0
FCFS,LRU,FIFO,1,6434.0
FCFS,LRU,FIFO,2,6434.0
FCFS,LRU,FIFO,4,6434.0
FCFS,LRU,LRU,1,6434.0
FCFS,LRU,LRU,2,6434.0
FCFS,LRU,LRU,4,6434.0
SJF,FIFO,FIFO,1,6434.0
SJF,FIFO,FIFO,2,6434.0
SJF,FIFO,FIFO,4,6434.0
SJF,FIFO,LRU,1,6434.0
SJF,FIFO,LRU,2,6434.0
SJF,FIFO,LRU,4,6434.0
SJF,LRU,FIFO,1,6434.0
SJF,LRU,FIFO,2,6434.0
SJF,LRU,FIFO,4,6434.0
SJF,LRU,LRU,1,6434.0
SJF,LRU,LRU,2,6434.0
SJF,LRU,LRU,4,6434.0
SRTF,FIFO,FIFO,1,6434.0
SRTF,FIFO,FIFO,2,6434.0
SRTF,FIFO,FIFO,4,6434.0
SRTF,FIFO,LRU,1,6434.0
SRTF,FIFO,LRU,2,6434.0
SRTF,FIFO,LRU,4,6434.0
SRTF,LRU,FIFO,1,6434.0
SRTF,LRU,FIFO,2,6434.0
SRTF,LRU,FIFO,4,6434.0
SRTF,LRU,LRU,1,6434.0
SRTF,LRU,LRU,2,6434.0
SRTF,LRU,LRU,4,6434.0
Priority,FIFO,FIFO,1,6434.0
Priority,FIFO,FIFO,2,6434.0
Priority,FIFO,FIFO,4,6434.0
Priority,FIFO,LRU,1,6434.0
Priority,FIFO,LRU,2,6434.0
Priority,FIFO,LRU,4,6434.0
Priority,LRU,FIFO,1,6434.0
Priority,LRU,FIFO,2,6434.0
Priority,LRU,FIFO,4,6434.0
Priority,LRU,LRU,1,6434.0
Priority,LRU,LRU,2,6434.0
Priority,LRU,LRU,4,6434.0
