Timestamp,CacheUsage(%),RAMUsage(%),DiskUsage(%),PrimaryMemorySize,PrimaryMemoryPageSize,PrimaryMemoryPolicy,SecondaryMemorySize,SecondaryMemoryBlockSize,CacheSize,CacheLineSize,CachePolicy,NumCores,Scheduler
0,0,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
0,0,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
0,0,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
0,0,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
0,0,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
20,31.25,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
20,31.25,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
20,31.25,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
20,31.25,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
40,37.5,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
40,37.5,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
40,37.5,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
40,37.5,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
60,37.5,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
60,37.5,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
60,37.5,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
60,37.5,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
80,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
80,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
80,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
101,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
101,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
121,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
121,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
141,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
141,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
161,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
161,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
181,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
181,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
201,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
201,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
221,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
221,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
241,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
241,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
261,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
262,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
282,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
282,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
302,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
302,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
322,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
322,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
342,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
342,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
362,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
362,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
382,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
382,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
402,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
402,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
423,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
423,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
443,40.625,100,0.341797,256,32,LRU,65536,512,32,16,LRU,4,Round-Robin
